Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:stained_hardened_clay:0, White Terracotta, tile.clayHardenedStained.white, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:1, Orange Terracotta, tile.clayHardenedStained.orange, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:2, Magenta Terracotta, tile.clayHardenedStained.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:3, Light Blue Terracotta, tile.clayHardenedStained.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:4, Yellow Terracotta, tile.clayHardenedStained.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:5, Lime Terracotta, tile.clayHardenedStained.lime, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:6, Pink Terracotta, tile.clayHardenedStained.pink, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:7, Gray Terracotta, tile.clayHardenedStained.gray, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:8, Light Gray Terracotta, tile.clayHardenedStained.silver, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:9, Cyan Terracotta, tile.clayHardenedStained.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:10, Purple Terracotta, tile.clayHardenedStained.purple, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:11, Blue Terracotta, tile.clayHardenedStained.blue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:12, Brown Terracotta, tile.clayHardenedStained.brown, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:13, Green Terracotta, tile.clayHardenedStained.green, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:14, Red Terracotta, tile.clayHardenedStained.red, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:15, Black Terracotta, tile.clayHardenedStained.black, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:0, White Stained Glass Pane, tile.thinStainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:1, Orange Stained Glass Pane, tile.thinStainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane, tile.thinStainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane, tile.thinStainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane, tile.thinStainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:5, Lime Stained Glass Pane, tile.thinStainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:6, Pink Stained Glass Pane, tile.thinStainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:7, Gray Stained Glass Pane, tile.thinStainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane, tile.thinStainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane, tile.thinStainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:10, Purple Stained Glass Pane, tile.thinStainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:11, Blue Stained Glass Pane, tile.thinStainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:12, Brown Stained Glass Pane, tile.thinStainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:13, Green Stained Glass Pane, tile.thinStainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:14, Red Stained Glass Pane, tile.thinStainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:15, Black Stained Glass Pane, tile.thinStainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:leaves2:0, Acacia Leaves, tile.leaves.acacia, true, net.minecraft.item.ItemStack
minecraft:leaves2:1, Dark Oak Leaves, tile.leaves.big_oak, true, net.minecraft.item.ItemStack
minecraft:log2:0, Acacia Wood, tile.log.acacia, true, net.minecraft.item.ItemStack
minecraft:log2:1, Dark Oak Wood, tile.log.big_oak, true, net.minecraft.item.ItemStack
minecraft:acacia_stairs, Acacia Wood Stairs, tile.stairsWoodAcacia, true, net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs, Dark Oak Wood Stairs, tile.stairsWoodDarkOak, true, net.minecraft.item.ItemBlock
minecraft:slime, Slime Block, tile.slime, true, net.minecraft.item.ItemBlock
minecraft:barrier, Barrier, tile.barrier, true, net.minecraft.item.ItemBlock
minecraft:iron_trapdoor, Iron Trapdoor, tile.iron_trapdoor, true, net.minecraft.item.ItemBlock
minecraft:prismarine:0, Prismarine, tile.prismarine.rough, true, net.minecraft.item.ItemStack
minecraft:prismarine:1, Prismarine Bricks, tile.prismarine.bricks, true, net.minecraft.item.ItemStack
minecraft:prismarine:2, Dark Prismarine, tile.prismarine.dark, true, net.minecraft.item.ItemStack
minecraft:sea_lantern, Sea Lantern, tile.seaLantern, true, net.minecraft.item.ItemBlock
minecraft:hay_block, Hay Bale, tile.hayBlock, true, net.minecraft.item.ItemBlock
minecraft:carpet:0, White Carpet, tile.woolCarpet.white, true, net.minecraft.item.ItemStack
minecraft:carpet:1, Orange Carpet, tile.woolCarpet.orange, true, net.minecraft.item.ItemStack
minecraft:carpet:2, Magenta Carpet, tile.woolCarpet.magenta, true, net.minecraft.item.ItemStack
minecraft:carpet:3, Light Blue Carpet, tile.woolCarpet.lightBlue, true, net.minecraft.item.ItemStack
minecraft:carpet:4, Yellow Carpet, tile.woolCarpet.yellow, true, net.minecraft.item.ItemStack
minecraft:carpet:5, Lime Carpet, tile.woolCarpet.lime, true, net.minecraft.item.ItemStack
minecraft:carpet:6, Pink Carpet, tile.woolCarpet.pink, true, net.minecraft.item.ItemStack
minecraft:carpet:7, Gray Carpet, tile.woolCarpet.gray, true, net.minecraft.item.ItemStack
minecraft:carpet:8, Light Gray Carpet, tile.woolCarpet.silver, true, net.minecraft.item.ItemStack
minecraft:carpet:9, Cyan Carpet, tile.woolCarpet.cyan, true, net.minecraft.item.ItemStack
minecraft:carpet:10, Purple Carpet, tile.woolCarpet.purple, true, net.minecraft.item.ItemStack
minecraft:carpet:11, Blue Carpet, tile.woolCarpet.blue, true, net.minecraft.item.ItemStack
minecraft:carpet:12, Brown Carpet, tile.woolCarpet.brown, true, net.minecraft.item.ItemStack
minecraft:carpet:13, Green Carpet, tile.woolCarpet.green, true, net.minecraft.item.ItemStack
minecraft:carpet:14, Red Carpet, tile.woolCarpet.red, true, net.minecraft.item.ItemStack
minecraft:carpet:15, Black Carpet, tile.woolCarpet.black, true, net.minecraft.item.ItemStack
minecraft:hardened_clay, Terracotta, tile.clayHardened, true, net.minecraft.item.ItemBlock
minecraft:coal_block, Block of Coal, tile.blockCoal, true, net.minecraft.item.ItemBlock
minecraft:packed_ice, Packed Ice, tile.icePacked, true, net.minecraft.item.ItemBlock
minecraft:double_plant:0, Sunflower, tile.doublePlant.sunflower, true, net.minecraft.item.ItemStack
minecraft:double_plant:1, Lilac, tile.doublePlant.syringa, true, net.minecraft.item.ItemStack
minecraft:double_plant:2, Double Tallgrass, tile.doublePlant.grass, true, net.minecraft.item.ItemStack
minecraft:double_plant:3, Large Fern, tile.doublePlant.fern, true, net.minecraft.item.ItemStack
minecraft:double_plant:4, Rose Bush, tile.doublePlant.rose, true, net.minecraft.item.ItemStack
minecraft:double_plant:5, Peony, tile.doublePlant.paeonia, true, net.minecraft.item.ItemStack
minecraft:red_sandstone:0, Red Sandstone, tile.redSandStone.default, true, net.minecraft.item.ItemStack
